Processing WAV file: C:\users\akohale\desktop\tap_recordings_pcm.wav (Samplerate: 48000 Hz, Total Samples: 1438080)
--- Tap Detection Log by Frame ---
Frame Size: 192 samples
----------------------------------
Frame | Start Time (s) | Tap Detected?
----------------------------------
    0 |          0.000 | 0
    1 |          0.004 | 0
    2 |          0.008 | 0
    3 |          0.012 | 0
    4 |          0.016 | 0
    5 |          0.020 | 0
    6 |          0.024 | 0
    7 |          0.028 | 0
    8 |          0.032 | 0
    9 |          0.036 | 0
   10 |          0.040 | 0
   11 |          0.044 | 0
   12 |          0.048 | 0
   13 |          0.052 | 0
   14 |          0.056 | 0
   15 |          0.060 | 0
   16 |          0.064 | 0
   17 |          0.068 | 0
   18 |          0.072 | 0
   19 |          0.076 | 0
   20 |          0.080 | 0
   21 |          0.084 | 0
   22 |          0.088 | 0
   23 |          0.092 | 0
   24 |          0.096 | 0
   25 |          0.100 | 0
   26 |          0.104 | 0
   27 |          0.108 | 0
   28 |          0.112 | 0
   29 |          0.116 | 0
   30 |          0.120 | 0
   31 |          0.124 | 0
   32 |          0.128 | 0
   33 |          0.132 | 0
   34 |          0.136 | 0
   35 |          0.140 | 0
   36 |          0.144 | 0
   37 |          0.148 | 0
   38 |          0.152 | 0
   39 |          0.156 | 0
   40 |          0.160 | 0
   41 |          0.164 | 0
   42 |          0.168 | 0
   43 |          0.172 | 0
   44 |          0.176 | 0
   45 |          0.180 | 0
   46 |          0.184 | 0
   47 |          0.188 | 0
   48 |          0.192 | 0
   49 |          0.196 | 0
   50 |          0.200 | 0
   51 |          0.204 | 0
   52 |          0.208 | 0
   53 |          0.212 | 0
   54 |          0.216 | 0
   55 |          0.220 | 0
   56 |          0.224 | 0
   57 |          0.228 | 0
   58 |          0.232 | 0
   59 |          0.236 | 0
   60 |          0.240 | 0
   61 |          0.244 | 0
   62 |          0.248 | 0
   63 |          0.252 | 0
   64 |          0.256 | 0
   65 |          0.260 | 0
   66 |          0.264 | 0
   67 |          0.268 | 0
   68 |          0.272 | 0
   69 |          0.276 | 0
   70 |          0.280 | 0
   71 |          0.284 | 0
   72 |          0.288 | 0
   73 |          0.292 | 0
   74 |          0.296 | 0
   75 |          0.300 | 0
